title,first_name,last_name,full_salutation,chamber,room,address_line_1,address_line_2,city,state,zip,phone,email,district,party,leadership_role,priority_tier,relevance_score,committee_hook
"Sen.","Maggie","Nurrenbern","Senator Nurrenbern","Missouri State Senate","330","201 W. Capitol Ave.","Rm. 330","Jefferson City","MO","65101","(573) 751-5282","maggie.nurrenbern@senate.mo.gov","17","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Cindy","O'Laughlin","Senator O'Laughlin","Missouri State Senate","326","201 W. Capitol Ave.","Rm. 326","Jefferson City","MO","65101","(573) 751-7985","cindy.olaughlin@senate.mo.gov","18","R","President Pro Tem","Tier 1","5","As President Pro Tem you oversee committee appointments that shape family policy"
"Sen.","Stephen","Webber","Senator Webber","Missouri State Senate","329","201 W. Capitol Ave.","Rm. 329","Jefferson City","MO","65101","(573) 751-3931","stephen.webber@senate.mo.gov","19","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Curtis","Trent","Senator Trent","Missouri State Senate","323","201 W. Capitol Ave.","Rm. 323","Jefferson City","MO","65101","(573) 751-1503","curtis.trent@senate.mo.gov","20","R","Asst. Majority Floor Leader","Tier 2","3","As Assistant Majority Floor Leader you influence which bills reach the floor"
"Sen.","Kurtis","Gregory","Senator Gregory","Missouri State Senate","433A","201 W. Capitol Ave.","Rm. 433A","Jefferson City","MO","65101","(573) 751-4302","kurtis.gregory@senate.mo.gov","21","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Mary Elizabeth","Coleman","Senator Coleman","Missouri State Senate","331A","201 W. Capitol Ave.","Rm. 331A","Jefferson City","MO","65101","(573) 751-1492","mary.elizabeth.coleman@senate.mo.gov","22","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Adam","Schnelting","Senator Schnelting","Missouri State Senate","219","201 W. Capitol Ave.","Rm. 219","Jefferson City","MO","65101","(573) 751-1141","adam.schnelting@senate.mo.gov","23","R","","Tier 2","3","St. Charles and Lincoln County families would benefit from child-centered documentation tools"
"Sen.","Tracy","McCreery","Senator McCreery","Missouri State Senate","427","201 W. Capitol Ave.","Rm. 427","Jefferson City","MO","65101","(573) 751-9762","tracy.mccreery@senate.mo.gov","24","D","","Tier 1","4","As a St. Louis County senator your constituents face family court documentation challenges"
"Sen.","Jason","Bean","Senator Bean","Missouri State Senate","321","201 W. Capitol Ave.","Rm. 321","Jefferson City","MO","65101","(573) 751-4843","jason.bean@senate.mo.gov","25","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Ben","Brown","Senator Brown","Missouri State Senate","430","201 W. Capitol Ave.","Rm. 430","Jefferson City","MO","65101","(573) 751-3678","ben.brown@senate.mo.gov","26","R","Majority Caucus Chairman","Tier 2","3","As Majority Caucus Chairman you help set the caucus agenda on family policy"
"Sen.","Jamie","Burger","Senator Burger","Missouri State Senate","334","201 W. Capitol Ave.","Rm. 334","Jefferson City","MO","65101","(573) 751-2459","jamie.burger@senate.mo.gov","27","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Sandy","Crawford","Senator Crawford","Missouri State Senate","319","201 W. Capitol Ave.","Rm. 319","Jefferson City","MO","65101","(573) 751-8793","sandy.crawford@senate.mo.gov","28","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Mike","Moon","Senator Moon","Missouri State Senate","220","201 W. Capitol Ave.","Rm. 220","Jefferson City","MO","65101","(573) 751-1480","mike.moon@senate.mo.gov","29","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Lincoln","Hough","Senator Hough","Missouri State Senate","419","201 W. Capitol Ave.","Rm. 419","Jefferson City","MO","65101","(573) 751-1311","lincoln.hough@senate.mo.gov","30","R","","Tier 3","2","Springfield-area families in your district navigate complex court proceedings"
"Sen.","Rick","Brattin","Senator Brattin","Missouri State Senate","331","201 W. Capitol Ave.","Rm. 331","Jefferson City","MO","65101","(573) 751-2108","rick.brattin@senate.mo.gov","31","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Jill","Carter","Senator Carter","Missouri State Senate","320","201 W. Capitol Ave.","Rm. 320","Jefferson City","MO","65101","(573) 751-2173","jill.carter@senate.mo.gov","32","R","Majority Caucus Whip","Tier 2","3","As Majority Caucus Whip you help build support for family-centered legislation"
"Sen.","Brad","Hudson","Senator Hudson","Missouri State Senate","426","201 W. Capitol Ave.","Rm. 426","Jefferson City","MO","65101","(573) 751-1882","brad.hudson@senate.mo.gov","33","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Tony","Luetkemeyer","Senator Luetkemeyer","Missouri State Senate","332","201 W. Capitol Ave.","Rm. 332","Jefferson City","MO","65101","(573) 751-2183","tony.luetkemeyer@senate.mo.gov","34","R","Majority Floor Leader","Tier 1","5","As Majority Floor Leader you control the floor calendar for family policy bills"
